section,book,chapter,verse,hebrew
Torah,Genesis,3,1,והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן
Torah,Genesis,3,2,ותאמר האשה אל הנחש מפרי עץ הגן נאכל
Torah,Genesis,3,3,ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון
Torah,Genesis,3,4,ויאמר הנחש אל האשה לא מות תמתון
Torah,Genesis,3,5,כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע
Torah,Genesis,3,6,ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל
Torah,Genesis,3,7,ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת
Torah,Genesis,3,8,וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן
Torah,Genesis,3,9,ויקרא יהוה אלהים אל האדם ויאמר לו איכה
Torah,Genesis,3,10,ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא
Torah,Genesis,3,11,ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת
Torah,Genesis,3,12,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל
Torah,Genesis,3,13,ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל
Torah,Genesis,3,14,ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך
Torah,Genesis,3,15,ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב
Torah,Genesis,3,16,אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך
Torah,Genesis,3,17,ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך
Torah,Genesis,3,18,וקוץ ודרדר תצמיח לך ואכלת את עשב השדה
Torah,Genesis,3,19,בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב
Torah,Genesis,3,20,ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי
Torah,Genesis,3,21,ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם
Torah,Genesis,3,22,ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם
Torah,Genesis,3,23,וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם
Torah,Genesis,3,24,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים
Torah,Genesis,4,1,והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה
Torah,Genesis,4,2,ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה
Torah,Genesis,4,3,ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה
Torah,Genesis,4,4,והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו
Torah,Genesis,4,5,ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו
Torah,Genesis,4,6,ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך
Torah,Genesis,4,7,הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו
Torah,Genesis,4,8,ויאמר קין אל הבל אחיו ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו
Torah,Genesis,4,9,ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי
Torah,Genesis,4,10,ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה
Torah,Genesis,4,11,ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך
Torah,Genesis,4,12,כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ
Torah,Genesis,4,13,ויאמר קין אל יהוה גדול עוני מנשא
Torah,Genesis,4,14,הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני
Torah,Genesis,4,15,ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו
Torah,Genesis,4,16,ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן
Torah,Genesis,4,17,וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך
Torah,Genesis,4,18,ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך
Torah,Genesis,4,19,ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה
Torah,Genesis,4,20,ותלד עדה את יבל הוא היה אבי ישב אהל ומקנה
Torah,Genesis,4,21,ושם אחיו יובל הוא היה אבי כל תפש כנור ועוגב
Torah,Genesis,4,22,וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה
Torah,Genesis,4,23,ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי
Torah,Genesis,4,24,כי שבעתים יקם קין ולמך שבעים ושבעה
Torah,Genesis,4,25,וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר תחת הבל כי הרגו קין
Torah,Genesis,4,26,ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה
Torah,Genesis,5,1,זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו
Torah,Genesis,5,2,זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם
Torah,Genesis,5,3,ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת
Torah,Genesis,5,4,ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות
Torah,Genesis,5,5,ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת
Torah,Genesis,5,6,ויחי שת חמש שנים ומאת שנה ויולד את אנוש
Torah,Genesis,5,7,ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות
Torah,Genesis,5,8,ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת
Torah,Genesis,5,9,ויחי אנוש תשעים שנה ויולד את קינן
Torah,Genesis,5,10,ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות
Torah,Genesis,5,11,ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת
Torah,Genesis,5,12,ויחי קינן שבעים שנה ויולד את מהללאל
Torah,Genesis,5,13,ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות
Torah,Genesis,5,14,ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת
Torah,Genesis,5,15,ויחי מהללאל חמש שנים וששים שנה ויולד את ירד
Torah,Genesis,5,16,ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות
Torah,Genesis,5,17,ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת
Torah,Genesis,5,18,ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך
Torah,Genesis,5,19,ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות
Torah,Genesis,5,20,ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת
Torah,Genesis,5,21,ויחי חנוך חמש וששים שנה ויולד את מתושלח
Torah,Genesis,5,22,ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות
Torah,Genesis,5,23,ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה
Torah,Genesis,5,24,ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים
Torah,Genesis,5,25,ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את למך
Torah,Genesis,5,26,ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות
Torah,Genesis,5,27,ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת
Torah,Genesis,5,28,ויחי למך שתים ושמנים שנה ומאת שנה ויולד בן
Torah,Genesis,5,29,ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה
Torah,Genesis,5,30,ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות
Torah,Genesis,5,31,ויהי כל ימי למך שבע ושבעים שנה ושבע מאות שנה וימת
Torah,Genesis,5,32,ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת
Torah,Genesis,6,1,ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם
Torah,Genesis,6,2,ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו
Torah,Genesis,6,3,ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה
Torah,Genesis,6,4,הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם
Torah,Genesis,6,5,וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבת לבו רק רע כל היום
Torah,Genesis,6,6,וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו
Torah,Genesis,6,7,ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים כי נחמתי כי עשיתם
Torah,Genesis,6,8,ונח מצא חן בעיני יהוה
Torah,Genesis,6,9,אלה תולדת נח נח איש צדיק תמים היה בדרתיו את האלהים התהלך נח
Torah,Genesis,6,10,ויולד נח שלשה בנים את שם את חם ואת יפת
Torah,Genesis,6,11,ותשחת הארץ לפני האלהים ותמלא הארץ חמס
Torah,Genesis,6,12,וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ
Torah,Genesis,6,13,ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ
Torah,Genesis,6,14,עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר
Torah,Genesis,6,15,וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה
Torah,Genesis,6,16,צהר תעשה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה
Torah,Genesis,6,17,ואני הנני מביא את המבול מים על הארץ לשחת כל בשר אשר בו רוח חיים מתחת השמים כל אשר בארץ יגוע
Torah,Genesis,6,18,והקמתי את בריתי אתך ובאת אל התבה אתה ובניך ואשתך ונשי בניך אתך
Torah,Genesis,6,19,ומכל החי מכל בשר שנים מכל תביא אל התבה להחית אתך זכר ונקבה יהיו
Torah,Genesis,6,20,מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות
Torah,Genesis,6,21,ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה
Torah,Genesis,6,22,ויעש נח ככל אשר צוה אתו אלהים כן עשה
Torah,Genesis,7,1,ויאמר יהוה לנח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה
Torah,Genesis,7,2,מכל הבהמה הטהורה תקח לך שבעה שבעה איש ואשתו ומן הבהמה אשר לא טהרה הוא שנים איש ואשתו
Torah,Genesis,7,3,גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ
Torah,Genesis,7,4,כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה
Torah,Genesis,7,5,ויעש נח ככל אשר צוהו יהוה
Torah,Genesis,7,6,ונח בן שש מאות שנה והמבול היה מים על הארץ
Torah,Genesis,7,7,ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול
Torah,Genesis,7,8,מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף וכל אשר רמש על האדמה
Torah,Genesis,7,9,שנים שנים באו אל נח אל התבה זכר ונקבה כאשר צוה אלהים את נח
Torah,Genesis,7,10,ויהי לשבעת הימים ומי המבול היו על הארץ
Torah,Genesis,7,11,בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו
Torah,Genesis,7,12,ויהי הגשם על הארץ ארבעים יום וארבעים לילה
Torah,Genesis,7,13,בעצם היום הזה בא נח ושם וחם ויפת בני נח ואשת נח ושלשת נשי בניו אתם אל התבה
Torah,Genesis,7,14,המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף
Torah,Genesis,7,15,ויבאו אל נח אל התבה שנים שנים מכל הבשר אשר בו רוח חיים
Torah,Genesis,7,16,והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו
Torah,Genesis,7,17,ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ
Torah,Genesis,7,18,ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים
Torah,Genesis,7,19,והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים
Torah,Genesis,7,20,חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים
Torah,Genesis,7,21,ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ וכל האדם
Torah,Genesis,7,22,כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה מתו
Torah,Genesis,7,23,וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה
Torah,Genesis,7,24,ויגברו המים על הארץ חמשים ומאת יום
Torah,Genesis,8,1,ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים
Torah,Genesis,8,2,ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן השמים
Torah,Genesis,8,3,וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום
Torah,Genesis,8,4,ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט
Torah,Genesis,8,5,והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים
Torah,Genesis,8,6,ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה
Torah,Genesis,8,7,וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ
Torah,Genesis,8,8,וישלח את היונה מאתו לראות הקלו המים מעל פני האדמה
Torah,Genesis,8,9,ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
Torah,Genesis,8,10,ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה
Torah,Genesis,8,11,ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ
Torah,Genesis,8,12,וייחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שוב אליו עוד
Torah,Genesis,8,13,ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה
Torah,Genesis,8,14,ובחדש השני בשבעה ועשרים יום לחדש יבשה הארץ
Torah,Genesis,8,15,וידבר אלהים אל נח לאמר
Torah,Genesis,8,16,צא מן התבה אתה ואשתך ובניך ונשי בניך אתך
Torah,Genesis,8,17,כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוצא [היצא] אתך ושרצו בארץ ופרו ורבו על הארץ
Torah,Genesis,8,18,ויצא נח ובניו ואשתו ונשי בניו אתו
Torah,Genesis,8,19,כל החיה כל הרמש וכל העוף כל רומש על הארץ למשפחתיהם יצאו מן התבה
Torah,Genesis,8,20,ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהורה ומכל העוף הטהר ויעל עלת במזבח
Torah,Genesis,8,21,וירח יהוה את ריח הניחח ויאמר יהוה אל לבו לא אסף לקלל עוד את האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא אסף עוד להכות את כל חי כאשר עשיתי
Torah,Genesis,8,22,עד כל ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה לא ישבתו
Torah,Genesis,9,1,ויברך אלהים את נח ואת בניו ויאמר להם פרו ורבו ומלאו את הארץ
Torah,Genesis,9,2,ומוראכם וחתכם יהיה על כל חית הארץ ועל כל עוף השמים בכל אשר תרמש האדמה ובכל דגי הים בידכם נתנו
Torah,Genesis,9,3,כל רמש אשר הוא חי לכם יהיה לאכלה כירק עשב נתתי לכם את כל
Torah,Genesis,9,4,אך בשר בנפשו דמו לא תאכלו
Torah,Genesis,9,5,ואך את דמכם לנפשתיכם אדרש מיד כל חיה אדרשנו ומיד האדם מיד איש אחיו אדרש את נפש האדם
Torah,Genesis,9,6,שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם
Torah,Genesis,9,7,ואתם פרו ורבו שרצו בארץ ורבו בה
Torah,Genesis,9,8,ויאמר אלהים אל נח ואל בניו אתו לאמר
Torah,Genesis,9,9,ואני הנני מקים את בריתי אתכם ואת זרעכם אחריכם
Torah,Genesis,9,10,ואת כל נפש החיה אשר אתכם בעוף בבהמה ובכל חית הארץ אתכם מכל יצאי התבה לכל חית הארץ
Torah,Genesis,9,11,והקמתי את בריתי אתכם ולא יכרת כל בשר עוד ממי המבול ולא יהיה עוד מבול לשחת הארץ
Torah,Genesis,9,12,ויאמר אלהים זאת אות הברית אשר אני נתן ביני וביניכם ובין כל נפש חיה אשר אתכם לדרת עולם
Torah,Genesis,9,13,את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ
Torah,Genesis,9,14,והיה בענני ענן על הארץ ונראתה הקשת בענן
Torah,Genesis,9,15,וזכרתי את בריתי אשר ביני וביניכם ובין כל נפש חיה בכל בשר ולא יהיה עוד המים למבול לשחת כל בשר
Torah,Genesis,9,16,והיתה הקשת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל נפש חיה בכל בשר אשר על הארץ
Torah,Genesis,9,17,ויאמר אלהים אל נח זאת אות הברית אשר הקמתי ביני ובין כל בשר אשר על הארץ
Torah,Genesis,9,18,ויהיו בני נח היצאים מן התבה שם וחם ויפת וחם הוא אבי כנען
Torah,Genesis,9,19,שלשה אלה בני נח ומאלה נפצה כל הארץ
Torah,Genesis,9,20,ויחל נח איש האדמה ויטע כרם
Torah,Genesis,9,21,וישת מן היין וישכר ויתגל בתוך אהלה
Torah,Genesis,9,22,וירא חם אבי כנען את ערות אביו ויגד לשני אחיו בחוץ
Torah,Genesis,9,23,ויקח שם ויפת את השמלה וישימו על שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו
Torah,Genesis,9,24,וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן
Torah,Genesis,9,25,ויאמר ארור כנען עבד עבדים יהיה לאחיו
Torah,Genesis,9,26,ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו
Torah,Genesis,9,27,יפת אלהים ליפת וישכן באהלי שם ויהי כנען עבד למו
Torah,Genesis,9,28,ויחי נח אחר המבול שלש מאות שנה וחמשים שנה
Torah,Genesis,9,29,ויהיו כל ימי נח תשע מאות שנה וחמשים שנה וימת
Torah,Genesis,10,1,ואלה תולדת בני נח שם חם ויפת ויולדו להם בנים אחר המבול
Torah,Genesis,10,2,בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס
Torah,Genesis,10,3,ובני גמר אשכנז וריפת ותגרמה
Torah,Genesis,10,4,ובני יון אלישה ותרשיש כתים ודדנים
Torah,Genesis,10,5,מאלה נפרדו איי הגוים בארצתם איש ללשנו למשפחתם בגויהם
Torah,Genesis,10,6,ובני חם כוש ומצרים ופוט וכנען
Torah,Genesis,10,7,ובני כוש סבא וחוילה וסבתה ורעמה וסבתכא ובני רעמה שבא ודדן
Torah,Genesis,10,8,וכוש ילד את נמרד הוא החל להיות גבר בארץ
Torah,Genesis,10,9,הוא היה גבר ציד לפני יהוה על כן יאמר כנמרד גבור ציד לפני יהוה
